Mickey Mouse,mickey.mouse@disney.com,(123) 456-7890,Masculino,1928-11-18
Minnie Mouse,minnie.mouse@disney.com,(123) 456-7891,Feminino,1928-11-18
Donald Duck,donald.duck@disney.com,(123) 456-7892,Masculino,1934-06-09
Daisy Duck,daisy.duck@disney.com,(123) 456-7893,Feminino,1940-01-01
Goofy,goofy@disney.com,(123) 456-7894,Masculino,1932-05-25
Pluto,pluto@disney.com,(123) 456-7895,Masculino,1930-09-05
Snow White,snow.white@disneyprincess.com,(123) 456-7896,Feminino,1937-12-21
Cinderella,cinderella@disneyprincess.com,(123) 456-7897,Feminino,1950-02-15
Elsa,elsa@disneyprincess.com,(123) 456-7898,Feminino,2013-11-27
Buzz Lightyear,buzz.lightyear@pixar.com,(123) 456-7899,Masculino,1995-11-22
Woody,woody@pixar.com,(123) 456-7900,Masculino,1995-11-22
Ariel,ariel@disneyprincess.com,(123) 456-7901,Feminino,1989-11-17
Anna,anna@disneyprincess.com,(123) 456-7902,Feminino,2013-11-27
Tinker Bell,tinker.bell@disney.com,(123) 456-7903,Feminino,1953-02-05
Simba,simba@disney.com,(123) 456-7904,Masculino,1994-06-15
