Clark Kent,clark.kent@dailyplanet.com,(123) 456-8000
Bruce Wayne,bruce.wayne@wayneenterprises.com,(123) 456-8001
Diana Prince,diana.prince@themiscira.com,(123) 456-8002
Barry Allen,barry.allen@ccpd.com,(123) 456-8003
Hal Jordan,hal.jordan@oacorps.com,(123) 456-8004
Tony Stark,tony.stark@starkindustries.com,(123) 456-8005
Steve Rogers,steve.rogers@avengers.com,(123) 456-8006
Natasha Romanoff,natasha.romanoff@shield.com,(123) 456-8007
Peter Parker,peter.parker@dailybugle.com,(123) 456-8008
Stephen Strange,stephen.strange@sorcery.org,(123) 456-8009
T'Challa,tchalla@wakanda.com,(123) 456-8010
Bruce Banner,bruce.banner@gamma.com,(123) 456-8011
Wanda Maximoff,wanda.maximoff@hexmail.com,(123) 456-8012
Arthur Curry,arthur.curry@atlantis.com,(123) 456-8013
Jean Grey,jean.grey@xavier.edu,(123) 456-8014
