Wimbledon,Mickey Mouse,Olive Tennis Team,Maria Oliveira;Ana Sousa;Carla Pereira;Laura Silva;Joana Costa;Clara Martins,Feminino
Super Bowl Challenge,Minnie Mouse,Eagles Warriors,John Peterson;Mark Evans;Michael Wright;Chris Johnson;Daniel Smith;Steven Brown;Andrew Carter,Misto
Rio Beach Volley Show,Donald Duck,The Aces,Lisa Ferreira;Sofia Lima;Juliana Moura;Bianca Campos;Rita Fonseca;Alice Carvalho,Feminino
Wimbledon,Daisy Duck,Golden Rackets,Rafael Lima;Eduardo Alves;Lucas Moreira;Pedro Santos;Henrique Duarte;Caio Ramos;Tiago Mello,Masculino
Super Bowl Challenge,Goofy,Lions Blitzers,Robert Adams;Greg Miller;Henry Clark;Kevin Green;Jason Moore;Adam Lee;Charlie White,Misto
Rio Beach Volley Show,Pluto,Net Winners,Julia Melo;Isabela Tavares;Mariana Guedes;Paula Vasconcelos;Lorena Rocha;Priscila Almeida,Feminino
Wimbledon,Snow White,Smash Masters,Daniel Correia;Gabriel Andrade;Vinicius Antunes;Ricardo Farias;Felipe Costa;Marcelo Lima;Leandro Siqueira,Masculino
Super Bowl Challenge,Cinderella,Blue Falcons,Sarah Wilson;Emily Thompson;Sophia Adams;Olivia Bennett;Victoria Scott;Megan Myers,Misto
Rio Beach Volley Show,Elsa,Top Spiners,Fernando Nunes;André Barbosa;Bruno Cordeiro;Gustavo Teixeira;Samuel Araújo;Rodrigo Castro,Masculino
Wimbledon,Buzz Lightyear,Queen Smashers,Amanda Freitas;Beatriz Mendes;Camila Vasquez;Julia Fonseca;Adriana Souza;Lia Oliveira,Feminino
Super Bowl Challenge,Woody,Iron Tacklers,Thomas Ray;Scott Nelson;Ben Foster;Eric Barnes;Timothy Cooper;Nathan Hayes,Misto
Rio Beach Volley Show,Ariel,Coral Aces,Sabrina Costa;Natalia Ribeiro;Fernanda Lopes;Camila Barros;Juliana Nogueira;Patrícia Cunha,Feminino
Wimbledon,Anna,Crystal Servers,Helena Martins;Bruna Teixeira;Marina Rocha;Clarice Dias;Renata Campos;Isadora Gomes,Feminino
Super Bowl Challenge,Tinker Bell,Pixie Blitzers,Ethan Long;Lucas Martin;Owen Taylor;Mason Brooks;Dylan Parker;Liam Anderson,Misto
Rio Beach Volley Show,Simba,Royal Smashers,Arthur Silva;Matheus Costa;Leonardo Martins;Bruno Alves;Caio Batista;Renan Ferreira,Masculino
