Wimbledon,Maria Oliveira,Olive Tennis Team,Maria Oliveira;Ana Sousa;Carla Pereira;Laura Silva;Joana Costa;Clara Martins,Feminino
Super Bowl Challenge,John Peterson,Eagles Warriors,John Peterson;Mark Evans;Michael Wright;Chris Johnson;Daniel Smith;Steven Brown;Andrew Carter,Misto
Roland Garros Open,Lisa Ferreira,The Aces,Lisa Ferreira;Sofia Lima;Juliana Moura;Bianca Campos;Rita Fonseca;Alice Carvalho,Feminino
Wimbledon,Rafael Lima,Golden Rackets,Rafael Lima;Eduardo Alves;Lucas Moreira;Pedro Santos;Henrique Duarte;Caio Ramos;Tiago Mello,Masculino
Super Bowl Challenge,Robert Adams,Lions Blitzers,Robert Adams;Greg Miller;Henry Clark;Kevin Green;Jason Moore;Adam Lee;Charlie White,Misto
Roland Garros Open,Julia Melo,Net Winners,Julia Melo;Isabela Tavares;Mariana Guedes;Paula Vasconcelos;Lorena Rocha;Priscila Almeida,Feminino
Wimbledon,Daniel Correia,Smash Masters,Daniel Correia;Gabriel Andrade;Vinicius Antunes;Ricardo Farias;Felipe Costa;Marcelo Lima;Leandro Siqueira,Masculino
Super Bowl Challenge,Sarah Wilson,Blue Falcons,Sarah Wilson;Emily Thompson;Sophia Adams;Olivia Bennett;Victoria Scott;Megan Myers,Misto
Roland Garros Open,Fernando Nunes,Top Spiners,Fernando Nunes;André Barbosa;Bruno Cordeiro;Gustavo Teixeira;Samuel Araújo;Rodrigo Castro,Masculino
Wimbledon,Amanda Freitas,Queen Smashers,Amanda Freitas;Beatriz Mendes;Camila Vasquez;Julia Fonseca;Adriana Souza;Lia Oliveira,Feminino
